date,symbol,score,bias,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,bucket
2026-04-27,GBPJPY,12,Very Bullish,0.04033923734854389,0.18919321666819267,-1.2200478863046271,,,,,Very Bullish
2026-04-27,GBPUSD,11,Very Bullish,0.17098442396727967,-0.19612270657273476,0.4906904560084465,,,,,Very Bullish
2026-04-27,AUDJPY,6,Bullish,0.5308024958072433,0.15441661024448347,-0.7825988297431199,,,,,Bullish
2026-04-27,NZDJPY,5,Bullish,0.5776277623656818,-0.12918627391563034,-1.1104040445510583,,,,,Bullish
2026-04-27,AUDUSD,2,Neutral,0.6634984882941358,-0.17301074151811396,0.971863956067704,,,,,Neutral
2026-04-27,USDJPY,1,Neutral,-0.1372445692869928,0.3810107369755114,-1.7107904179901785,,,,,Neutral
2026-04-27,USDCHF,1,Neutral,-0.12844979030732817,0.5417783985278873,-0.657508286319093,,,,,Neutral
2026-04-27,NZDUSD,1,Neutral,0.7106906138908587,-0.5174769016159351,0.6065962314645652,,,,,Neutral
2026-04-27,CADJPY,1,Neutral,0.27000363466431276,0.44143056934485664,-1.0654379521995212,,,,,Neutral
2026-04-27,EURUSD,0,Neutral,0.1453755829508942,-0.18578258163043665,0.17238147017320937,,,,,Neutral
2026-04-27,EURJPY,0,Neutral,-0.012309427477664352,0.20020993822497074,-1.5336631802480003,,,,,Neutral
2026-04-27,CHFJPY,0,Neutral,-0.012611563833915405,-0.1654995141878213,-1.0433681373389525,,,,,Neutral
2026-04-27,USDCAD,-1,Neutral,-0.3985090993404961,-0.034361145929398394,-0.6427329924530999,,,,,Neutral
2026-04-20,GBPUSD,14,Very Bullish,0.3477522874950272,0.11879945188524951,0.22799805507669185,0.7198072757812846,,,,Very Bullish
2026-04-20,GBPJPY,12,Very Bullish,0.1620572899185717,0.3326192098828921,0.4957289122151518,-0.7303671042047574,,,,Very Bullish
2026-04-20,AUDUSD,4,Bullish,0.5494070819355616,0.32239979797070156,0.11915919255445515,1.0921812138649374,,,,Bullish
2026-04-20,AUDJPY,4,Bullish,0.37082500145827413,0.5390641401383977,0.3954879788481704,-0.3902059351891899,,,,Bullish
2026-04-20,NZDJPY,4,Bullish,0.5035933230701216,0.8850466880214717,0.35465631102501755,-0.7596858515479181,,,,Bullish
2026-04-20,EURUSD,3,Neutral,0.3676725907713601,-0.29967757957660135,-0.29617477550579474,-0.12430385576488448,,,,Neutral
2026-04-20,NZDUSD,1,Neutral,0.7022735247911548,0.6921619242243767,0.09686811718847099,0.7040519470013922,,,,Neutral
2026-04-20,USDCHF,-1,Neutral,-0.6571753257791726,0.14802664479606328,0.3368819315233396,-0.32284138141063107,,,,Neutral
2026-04-20,USDCAD,-1,Neutral,-0.44508861629977664,-0.25757209509222173,-0.21160193020763468,-0.8529748872426225,,,,Neutral
2026-04-20,EURJPY,-1,Neutral,0.18304602169308506,-0.08455690678193105,-0.019264993538591398,-1.552632713674013,,,,Neutral
2026-04-20,CADJPY,-2,Neutral,0.26096288899421294,0.4771385930108468,0.47972095270805754,-0.5908281285862684,,,,Neutral
2026-04-20,USDJPY,-3,Neutral,-0.1991702438217678,0.20545932588901591,0.2607476433917902,-1.4545036202966701,,,,Neutral
2026-04-20,CHFJPY,-4,Bearish,0.47660246182603444,0.07720543529871882,-0.06566933647816656,-1.1083523008843041,,,,Bearish
2026-04-13,GBPUSD,10,Very Bullish,0.9028264121714692,1.3385045470172918,0.6715262049010653,0.9010553266642619,,,,Very Bullish
2026-04-13,GBPJPY,8,Bullish,0.616271927624703,0.7836657010358051,0.33443794768755514,0.8318247655028131,,,,Bullish
2026-04-13,AUDJPY,7,Bullish,0.8404647817211468,1.66843184465036,1.2928127702180723,1.693413668161469,,,,Bullish
2026-04-13,AUDUSD,5,Bullish,1.1310697108496035,2.2208401065257415,1.6396269646149608,1.760739923421356,,,,Bullish
2026-04-13,NZDJPY,4,Bullish,0.8720308140005462,1.3058765804719672,0.7230954899554701,1.080316304770352,,,,Bullish
